Start date, Duration, Assigned task, Task state 
Oct 15  2017 at 10:38:08 PM,25,Break Into Tech,Done 
Oct 15  2017 at 11:08:24 PM,25,Break Into Tech,Done 
Oct 15  2017 at 11:37:32 PM,25,Break Into Tech,Done 
Oct 16  2017 at 8:06:32 AM,25,Indiana Donor Network Research,Done 
Oct 16  2017 at 8:42:55 AM,25,Indiana Donor Network Research,Done 
Oct 16  2017 at 9:11:21 AM,25,Indiana Donor Network Research,Done 
Oct 16  2017 at 10:25:53 AM,25,Project Manager networking,Done 
Oct 16  2017 at 3:39:26 PM,25,Investigate Edusource,Done 
Oct 16  2017 at 4:10:35 PM,25,Investigate people Edusource,Done 
Oct 17  2017 at 11:35:24 AM,25,Review ICT4D Guide,Done 
Oct 17  2017 at 3:42:26 PM,25,Read Product Leadership,Done 
Oct 17  2017 at 7:18:50 PM,25,Read Product Leadership,Done 
Oct 18  2017 at 3:53:16 PM,25,Investigate OurHealth,Done 
Oct 18  2017 at 4:26:07 PM,25,Investigate OurHealth,Done 
Oct 18  2017 at 5:07:24 PM,25,Read Product Leadership,Done 
Oct 18  2017 at 6:07:16 PM,25,Read Product Leadership,Done 
Oct 18  2017 at 8:47:22 PM,25,Prep stories,Done 
Oct 22  2017 at 3:51:02 PM,25,Bullet journal,Done 
Oct 22  2017 at 4:22:42 PM,25,Prep PC Interview,Done 
Oct 22  2017 at 5:03:44 PM,25,Prep Meeting with Monty,Done 
Oct 23  2017 at 4:48:43 PM,25,Prep IYI Interview,Done 
Oct 23  2017 at 5:19:50 PM,25,Prep Q & A Informational Interview,Done 
Oct 23  2017 at 6:05:09 PM,25,Prep IYI Interview,Done 
Nov 5  2017 at 10:15:16 AM,25,Bullet journal,Done 
Nov 5  2017 at 10:50:06 AM,25,Bullet journal,Done 
Nov 5  2017 at 11:15:28 AM,25,Writing Down Book,Done 
Nov 5  2017 at 1:24:53 PM,25,Organize Bills,Done 
Nov 5  2017 at 1:57:27 PM,25,Organize Bills,Done 
Nov 5  2017 at 2:28:03 PM,25,Organize Bills,Done 
Nov 5  2017 at 3:03:25 PM,25,Create Budget,Done 
Nov 5  2017 at 3:34:04 PM,25,Create Budget,Done 
Nov 5  2017 at 4:22:45 PM,25,Create Budget,Done 
Nov 5  2017 at 5:10:48 PM,25,Vacuum,Done 
Nov 5  2017 at 5:46:37 PM,25,Clean bathroom,Done 
Nov 5  2017 at 6:14:09 PM,25,Clean Kitchen,Done 
Nov 5  2017 at 6:46:23 PM,25,Clean Kitchen,Done 
Nov 7  2017 at 7:20:29 AM,25,Edit Resources IYI,Done 
Nov 7  2017 at 7:59:00 AM,25,Edit Resources IYI,Done 
Nov 7  2017 at 8:24:23 AM,25,Work on Data IYI,Done 
Nov 7  2017 at 8:56:07 AM,25,Work on Data IYI,Done 
Nov 7  2017 at 10:29:47 AM,25,Edit Databook,Done 
Nov 7  2017 at 1:36:53 PM,25,1. Review Family & Com Notes,Done 
Nov 7  2017 at 2:08:48 PM,25,2. Review Spotlight Solution Notes,Done 
Nov 7  2017 at 2:39:02 PM,25,3. Review Opioids Spotlight,Done 
Nov 7  2017 at 3:21:55 PM,25,4. Draft for Spotlight,Done 
Nov 8  2017 at 8:53:10 AM,25,4. Draft for Spotlight,Done 
Nov 8  2017 at 9:25:06 AM,25,4. Draft for Spotlight,Done 
Nov 8  2017 at 10:15:55 AM,25,4. Draft for Spotlight,Done 
Nov 8  2017 at 10:55:53 AM,25,4. Draft for Spotlight,Done 
Nov 8  2017 at 11:25:49 AM,25,4. Draft for Spotlight,Done 
Nov 8  2017 at 1:02:28 PM,25,4. Draft for Spotlight,Done 
Nov 8  2017 at 1:28:40 PM,25,4. Draft for Spotlight,Done 
Nov 8  2017 at 2:16:13 PM,25,4. Draft for Spotlight,Done 
Nov 8  2017 at 2:45:30 PM,25,4. Draft for Spotlight,Done 
Nov 8  2017 at 3:21:22 PM,25,4. Draft for Spotlight,Done 
Nov 9  2017 at 7:45:45 AM,25,4. Draft for Spotlight,Done 
Nov 9  2017 at 8:18:22 AM,25,4. Draft for Spotlight,Done 
Nov 9  2017 at 9:02:35 AM,25,4. Draft for Spotlight,Done 
Nov 9  2017 at 9:42:09 AM,25,4. Draft for Spotlight,Done 
Nov 9  2017 at 10:29:25 AM,25,4. Draft for Spotlight,Done 
Nov 9  2017 at 10:59:58 AM,25,4. Draft for Spotlight,Done 
Nov 9  2017 at 11:31:21 AM,25,4. Draft for Spotlight,Done 
Nov 10  2017 at 9:04:57 AM,25,Edit new data into fam and con draft,Done 
Nov 10  2017 at 9:36:27 AM,25,Edit new data into fam and con draft,Done 
Nov 10  2017 at 10:14:30 AM,25,Edit new data into fam and con draft,Done 
Nov 10  2017 at 10:49:43 AM,25,Edit new data into fam and con draft,Done 
Nov 10  2017 at 1:12:11 PM,25,Edit Spotlight,Done 
Nov 10  2017 at 1:37:17 PM,25,Edit Spotlight,Done 
Nov 10  2017 at 2:07:18 PM,25,Edit Spotlight,Done 
Nov 10  2017 at 2:32:25 PM,25,Edit Spotlight,Done 
Nov 10  2017 at 3:12:47 PM,25,Edit Spotlight,Done 
Nov 10  2017 at 3:37:58 PM,25,Edit Spotlight,Done 
Nov 15  2017 at 5:05:37 PM,25,Make banana bread,Done 
Nov 15  2017 at 5:50:09 PM,25,Prep dinner,Done 
Nov 17  2017 at 10:44:51 AM,25,Data request,Done 
Nov 17  2017 at 11:10:04 AM,25,Data request,Done 
Nov 17  2017 at 11:35:39 AM,25,Data request,Done 
Nov 17  2017 at 12:03:25 PM,25,Data request,Done 
Nov 17  2017 at 1:09:17 PM,25,Data request,Done 
Nov 17  2017 at 2:22:32 PM,25,Spotlight draft,Done 
Nov 17  2017 at 2:47:53 PM,25,Spotlight draft,Done 
Nov 17  2017 at 3:13:08 PM,25,Spotlight draft,Done 
Nov 17  2017 at 8:31:15 PM,25,Read The First 20 hours,Done 
Nov 18  2017 at 2:42:54 PM,25,Bullet journal,Done 
Nov 18  2017 at 3:16:18 PM,25,The Functional Art Video Lessons,Done 
Nov 18  2017 at 3:41:39 PM,25,The Functional Art Video Lessons,Done 
Nov 18  2017 at 4:48:39 PM,25,The Functional Art Video Lessons,Done 
Nov 18  2017 at 5:27:21 PM,25,The Functional Art Video Lessons,Done 
Nov 20  2017 at 8:49:55 AM,25,Spotlight draft,Done 
Nov 20  2017 at 9:32:48 AM,25,Spotlight draft,Done 
Nov 20  2017 at 9:57:56 AM,25,Spotlight draft,Done 
Nov 20  2017 at 10:23:32 AM,25,Spotlight draft,Done 
Nov 20  2017 at 11:07:34 AM,25,Spotlight draft,Done 
Nov 20  2017 at 11:32:40 AM,25,Spotlight draft,Done 
Nov 20  2017 at 12:04:52 PM,25,Spotlight draft,Done 
Nov 20  2017 at 1:23:43 PM,25,Add new data to draft,Done 
Nov 20  2017 at 2:07:53 PM,25,Add new data to draft,Done 
Nov 20  2017 at 2:34:57 PM,25,Add new data to draft,Done 
Nov 20  2017 at 3:00:14 PM,25,Add new data to draft,Done 
Nov 21  2017 at 8:41:17 AM,25,Spotlight draft,Done 
Nov 21  2017 at 9:15:38 AM,25,Spotlight draft,Done 
Nov 21  2017 at 9:49:45 AM,25,Spotlight draft,Done 
Nov 21  2017 at 10:24:08 AM,25,Spotlight draft,Done 
Nov 21  2017 at 10:54:56 AM,25,Education Data,Done 
Nov 21  2017 at 11:24:40 AM,25,Education Data,Done 
Nov 21  2017 at 11:52:46 AM,25,Education Data,Done 
Nov 21  2017 at 1:08:32 PM,25,Review Health Databook,Done 
Nov 21  2017 at 1:56:25 PM,25,Review Health Databook,Done 
Nov 21  2017 at 2:33:15 PM,25,State of the Child,Done 
Nov 21  2017 at 3:23:29 PM,25,State of the Child,Done 
Nov 21  2017 at 3:48:37 PM,25,State of the Child,Done 
Nov 23  2017 at 11:05:56 AM,25,The Functional Art Video Lessons,Done 
Nov 23  2017 at 11:50:56 AM,25,The Functional Art Video Lessons,Done 
Nov 23  2017 at 12:17:20 PM,25,Creating Maps Charts and Info with Illustrator,Done 
Nov 23  2017 at 4:24:23 PM,25,Read Drive,Done 
Nov 23  2017 at 4:59:59 PM,25,Creating Maps Charts and Info with Illustrator,Done 
Nov 23  2017 at 5:35:56 PM,25,Creating Maps Charts and Info with Illustrator,Done 
Nov 24  2017 at 2:54:53 PM,25,Creating Maps Charts and Info with Illustrator,Done 
Nov 24  2017 at 3:37:44 PM,25,Creating Maps Charts and Info with Illustrator,Done 
Nov 24  2017 at 4:56:23 PM,25,Other,To Do 
Nov 24  2017 at 5:34:14 PM,25,Other,To Do 
Nov 24  2017 at 6:17:57 PM,25,Creating Maps Charts and Info with Illustrator,Done 
Nov 24  2017 at 7:56:35 PM,25,Creating Maps Charts and Info with Illustrator,Done 
Nov 27  2017 at 11:35:58 AM,25,State of the Child,Done 
Nov 27  2017 at 3:40:15 PM,25,State of the Child,Done 
Dec 3  2017 at 2:10:54 PM,25,Bullet journal,Done 
Dec 3  2017 at 2:44:46 PM,25,Bullet journal,Done 
Dec 3  2017 at 3:15:03 PM,25,Bullet journal,Done 
Dec 3  2017 at 3:47:05 PM,25,Budget,Done 
Dec 3  2017 at 4:15:56 PM,25,Budget,Done 
Dec 3  2017 at 4:44:55 PM,25,Budget,Done 
Dec 3  2017 at 5:25:09 PM,25,Budget,Done 
Dec 6  2017 at 9:16:46 AM,25,Data Request,Done 
Dec 6  2017 at 9:54:16 AM,25,Data Request,Done 
Dec 6  2017 at 10:28:45 AM,25,Data Request,Done 
Dec 6  2017 at 10:59:34 AM,25,Safety Data,Done 
Dec 6  2017 at 11:44:34 AM,25,Safety Data,Done 
Dec 6  2017 at 2:12:26 PM,25,Safety Data,Done 
Dec 6  2017 at 2:37:39 PM,25,Safety Data,Done 
Dec 6  2017 at 3:13:17 PM,25,Safety Spotlight,Done 
Dec 6  2017 at 5:46:26 PM,25,The truthful art,Done 
Dec 6  2017 at 6:13:29 PM,25,The truthful art,Done 
Dec 7  2017 at 8:12:56 AM,25,Data Request,Done 
Dec 7  2017 at 9:04:41 AM,25,Data Request,Done 
Dec 7  2017 at 9:34:39 AM,25,Data Request,Done 
Dec 7  2017 at 10:39:19 AM,25,Data Request,Done 
Dec 7  2017 at 11:30:00 AM,25,Data Request,Done 
Dec 7  2017 at 12:04:36 PM,25,Data Request,Done 
Dec 7  2017 at 12:34:10 PM,25,Data Request,Done 
Dec 7  2017 at 1:16:05 PM,25,Safety Spotlight,Done 
Dec 7  2017 at 5:11:30 PM,25,The truthful art,Done 
Dec 8  2017 at 8:06:59 AM,25,Safety Spotlight,Done 
Dec 8  2017 at 8:32:12 AM,25,Safety Spotlight,Done 
Dec 8  2017 at 10:46:34 AM,25,Safety Spotlight,Done 
Dec 8  2017 at 11:18:50 AM,25,Safety Spotlight,Done 
Dec 8  2017 at 11:44:31 AM,25,Safety Spotlight,Done 
Dec 8  2017 at 12:10:10 PM,25,Safety Spotlight,Done 
Dec 8  2017 at 2:09:02 PM,25,Safety Spotlight,Done 
Dec 8  2017 at 3:23:12 PM,25,Safety Spotlight,Done 
Dec 8  2017 at 3:48:29 PM,25,Data Request,Done 
Dec 9  2017 at 5:06:25 PM,25,The truthful art,Done 
Dec 11  2017 at 5:07:53 PM,25,The truthful art,Done 
Dec 12  2017 at 8:28:27 AM,25,Databook Key Findings,Done 
Dec 12  2017 at 8:59:21 AM,25,Databook Key Findings,Done 
Dec 12  2017 at 9:40:17 AM,25,Databook Key Findings,Done 
Dec 12  2017 at 10:19:07 AM,25,Safety Spotlight,Done 
Dec 12  2017 at 10:46:01 AM,25,Safety Spotlight,Done 
Dec 12  2017 at 12:14:00 PM,25,Review Databook,Done 
Dec 12  2017 at 12:47:43 PM,25,Review Databook,Done 
Dec 12  2017 at 1:53:45 PM,25,Economy Spotlight,Done 
Dec 13  2017 at 10:16:11 AM,25,Data Request,Done 
Dec 13  2017 at 10:54:11 AM,25,Data Request,Done 
Dec 13  2017 at 11:39:44 AM,25,Data Request,Done 
Dec 13  2017 at 1:02:16 PM,25,Data Request,Done 
Dec 13  2017 at 1:30:11 PM,25,Data Request,Done 
Dec 14  2017 at 11:24:11 AM,25,OpEd,Done 
Dec 14  2017 at 11:50:36 AM,25,OpEd,Done 
Dec 14  2017 at 1:21:18 PM,25,OpEd,Done 
Dec 15  2017 at 8:34:36 AM,25,OpEd,Done 
Dec 15  2017 at 9:06:53 AM,25,OpEd,Done 
Dec 15  2017 at 9:44:43 AM,25,OpEd,Done 
Dec 18  2017 at 9:11:24 AM,25,OpEd,Done 
Dec 18  2017 at 9:59:00 AM,25,OpEd,Done 
Dec 18  2017 at 11:04:00 AM,25,OpEd,Done 
Dec 18  2017 at 12:02:16 PM,25,OpEd,Done 
Dec 18  2017 at 12:36:12 PM,25,OpEd,Done 
Dec 18  2017 at 1:20:59 PM,25,OpEd,Done 
Dec 18  2017 at 1:46:12 PM,25,OpEd,Done 
Dec 18  2017 at 2:58:03 PM,25,OpEd,Done 
Dec 18  2017 at 4:06:17 PM,25,OpEd,Done 
Dec 18  2017 at 4:31:23 PM,25,OpEd,Done 
Dec 19  2017 at 11:47:17 AM,25,Data Request,Done 
Dec 19  2017 at 12:58:48 PM,25,Data Request,Done 
Dec 19  2017 at 2:47:04 PM,25,Data Request,Done 
Dec 19  2017 at 3:14:22 PM,25,Data Request,Done 
Dec 20  2017 at 9:30:40 AM,25,Data Request,Done 
Dec 20  2017 at 9:55:52 AM,25,Data Request,Done 
Dec 20  2017 at 10:28:33 AM,25,Data Request,Done 
Dec 20  2017 at 10:53:43 AM,25,Data Request,Done 
Dec 20  2017 at 11:19:09 AM,25,Data Request,Done 
Dec 20  2017 at 11:51:05 AM,25,Databook,Done 
Dec 20  2017 at 12:17:02 PM,25,Databook,Done 
Dec 20  2017 at 3:35:08 PM,25,Databook,Done 
Dec 20  2017 at 4:16:11 PM,25,Databook,Done 
Dec 21  2017 at 8:41:43 AM,25,Databook,Done 
Dec 21  2017 at 9:06:50 AM,25,Databook,Done 
Dec 21  2017 at 9:32:53 AM,25,Databook,Done 
Dec 21  2017 at 10:00:09 AM,25,Databook,Done 
Dec 21  2017 at 10:30:16 AM,25,Databook,Done 
Dec 21  2017 at 10:55:30 AM,25,Databook,Done 
Dec 21  2017 at 11:21:54 AM,25,Databook,Done 
Dec 21  2017 at 11:47:05 AM,25,Databook,Done 
Dec 21  2017 at 12:23:20 PM,25,Databook,Done 
Dec 21  2017 at 1:14:07 PM,25,Databook,Done 
Dec 21  2017 at 1:39:54 PM,25,Databook,Done 
Dec 21  2017 at 2:05:03 PM,25,Databook,Done 
Dec 21  2017 at 2:31:51 PM,25,Databook,Done 
Dec 21  2017 at 3:42:16 PM,25,Databook,Done 
Dec 22  2017 at 8:11:09 AM,25,Databook,Done 
Dec 22  2017 at 8:36:41 AM,25,Databook,Done 
Dec 22  2017 at 9:03:02 AM,25,Databook,Done 
Dec 22  2017 at 9:28:13 AM,25,Databook,Done 
Dec 22  2017 at 10:25:41 AM,25,Data Request,Done 
Dec 22  2017 at 10:53:21 AM,25,Data Request,Done 
Dec 22  2017 at 11:33:52 AM,25,Data Request,Done 
Dec 22  2017 at 2:25:12 PM,25,Data Request,Done 
Dec 22  2017 at 2:51:11 PM,25,Data Request,Done 
Dec 22  2017 at 3:16:26 PM,25,Data Request,Done 
Dec 23  2017 at 5:19:54 PM,25,The truthful art,Done 
Dec 23  2017 at 6:04:33 PM,25,Writing Down Book,Done 
Dec 23  2017 at 9:25:55 PM,25,Writing Down Book,Done 
Dec 24  2017 at 4:49:45 PM,25,The truthful art,Done 
Dec 27  2017 at 7:13:54 AM,25,Read The First 20 hours,Done 
Dec 27  2017 at 8:29:51 AM,25,Data Request,Done 
Dec 27  2017 at 9:00:43 AM,25,Data Request,Done 
Dec 27  2017 at 9:25:57 AM,25,Data Request,Done 
Dec 27  2017 at 10:04:55 AM,25,Data Request,Done 
Dec 27  2017 at 10:57:43 AM,25,Databook,Done 
Dec 27  2017 at 11:34:47 AM,25,Databook,Done 
Dec 27  2017 at 12:55:48 PM,25,Databook,Done 
Dec 27  2017 at 1:20:56 PM,25,Databook,Done 
Dec 27  2017 at 1:58:05 PM,25,Databook,Done 
Dec 27  2017 at 3:29:48 PM,25,Databook,Done 
Dec 27  2017 at 4:00:06 PM,25,Databook,Done 
Dec 28  2017 at 5:41:05 PM,25,Read The First 20 hours,Done 
