Start date, Duration, Assigned task, Task state 
Sep 29  2018 at 12:40:13 PM,25,Data Book,Done 
Sep 29  2018 at 1:06:46 PM,25,Data Book,Done 
Sep 29  2018 at 1:51:15 PM,25,Data Book,Done 
Sep 30  2018 at 1:36:47 PM,25,Daily Goal,Done 
Sep 30  2018 at 2:15:27 PM,25,Data Book,Done 
Oct 1  2018 at 7:34:10 AM,25,Data Book,Done 
Oct 1  2018 at 9:22:55 AM,25,Data Book,Done 
Oct 1  2018 at 10:11:22 AM,25,Data Book,Done 
Oct 1  2018 at 10:45:44 AM,25,Data Book,Done 
Oct 1  2018 at 12:02:40 PM,25,Data Book,Done 
Oct 1  2018 at 1:36:51 PM,25,Data Book,Done 
Oct 1  2018 at 2:39:14 PM,25,Data Book,Done 
Oct 1  2018 at 3:50:52 PM,25,Data Book,Done 
Oct 1  2018 at 4:16:03 PM,25,Data Book,Done 
Oct 2  2018 at 7:52:33 AM,25,Data Book,Done 
Oct 2  2018 at 8:27:25 AM,25,Data Book,Done 
Oct 2  2018 at 9:00:57 AM,25,Data Book,Done 
Oct 2  2018 at 9:34:31 AM,25,Data Book,Done 
Oct 2  2018 at 10:56:12 AM,25,Data Book,Done 
Oct 2  2018 at 11:32:13 AM,25,Data Book,Done 
Oct 2  2018 at 1:42:11 PM,25,Data Book,Done 
Oct 2  2018 at 2:08:56 PM,25,Data Book,Done 
Oct 2  2018 at 2:43:17 PM,25,Data Book,Done 
Oct 3  2018 at 9:15:02 AM,25,Data Book,Done 
Oct 3  2018 at 9:51:18 AM,25,Data Book,Done 
Oct 3  2018 at 10:18:13 AM,25,Data Book,Done 
Oct 3  2018 at 10:56:03 AM,25,Data Book,Done 
Oct 3  2018 at 11:25:20 AM,25,Data Book,Done 
Oct 3  2018 at 11:59:26 AM,25,Data Book,Done 
Oct 3  2018 at 1:23:05 PM,25,Data Book,Done 
Oct 3  2018 at 2:20:25 PM,25,Data Book,Done 
Oct 3  2018 at 3:05:36 PM,25,Data Book,Done 
Oct 3  2018 at 3:40:51 PM,25,Data Book,Done 
Oct 3  2018 at 4:31:02 PM,25,Data Book,Done 
Oct 3  2018 at 7:57:49 PM,25,Write,Done 
Oct 4  2018 at 7:35:38 AM,25,Write,Done 
Oct 4  2018 at 8:14:21 AM,25,Data Book,Done 
Oct 4  2018 at 8:53:41 AM,25,Data Book,Done 
Oct 4  2018 at 10:05:49 AM,25,Data Book,Done 
Oct 4  2018 at 10:31:31 AM,25,Data Book,Done 
Oct 4  2018 at 11:00:30 AM,25,Data Book,Done 
Oct 4  2018 at 11:26:14 AM,25,Data Book,Done 
Oct 4  2018 at 1:08:21 PM,25,Data Book,Done 
Oct 4  2018 at 1:36:44 PM,25,Data Book,Done 
Oct 4  2018 at 2:29:20 PM,25,Data Book,Done 
Oct 4  2018 at 3:08:46 PM,25,Data Book,Done 
Oct 4  2018 at 3:34:04 PM,25,Data Book,Done 
Oct 4  2018 at 5:08:15 PM,25,Write,Done 
Oct 4  2018 at 5:35:35 PM,25,Bullet Journal,Done 
Oct 5  2018 at 7:51:27 AM,25,Data Book,Done 
Oct 5  2018 at 8:33:22 AM,25,Data Book,Done 
Oct 5  2018 at 9:11:00 AM,25,Data Book,Done 
Oct 5  2018 at 9:50:40 AM,25,Data Book,Done 
Oct 5  2018 at 10:43:07 AM,25,Data Book,Done 
Oct 5  2018 at 11:12:05 AM,25,Data Book,Done 
Oct 5  2018 at 12:57:44 PM,25,Data Book,Done 
Oct 8  2018 at 7:15:43 AM,25,Data Book,Done 
Oct 8  2018 at 8:01:05 AM,25,Data Book,Done 
Oct 8  2018 at 8:28:43 AM,25,Data Book,Done 
Oct 8  2018 at 9:04:10 AM,25,Data Book,Done 
Oct 8  2018 at 9:42:47 AM,25,Data Book,Done 
Oct 8  2018 at 12:20:12 PM,25,Read,Done 
Oct 8  2018 at 12:55:44 PM,25,Write,Done 
Oct 8  2018 at 1:30:30 PM,25,Data Book,Done 
Oct 8  2018 at 1:57:45 PM,25,Data Book,Done 
Oct 8  2018 at 2:31:48 PM,25,Data Book,Done 
Oct 9  2018 at 8:17:31 AM,25,Data Book,Done 
Oct 9  2018 at 9:03:21 AM,25,Data Book,Done 
Oct 9  2018 at 9:37:16 AM,25,Data Book,Done 
Oct 9  2018 at 10:06:50 AM,25,Data Book,Done 
Oct 9  2018 at 10:58:12 AM,25,Data Book,Done 
Oct 9  2018 at 1:00:04 PM,25,Data Book,Done 
Oct 9  2018 at 1:41:19 PM,25,Data Book,Done 
Oct 9  2018 at 2:16:32 PM,25,Data Book,Done 
Oct 9  2018 at 2:44:54 PM,25,Data Book,Done 
Oct 9  2018 at 3:17:15 PM,25,Data Book,Done 
Oct 10  2018 at 7:31:49 AM,25,Data Book,Done 
Oct 10  2018 at 8:07:53 AM,25,Data Book,Done 
Oct 10  2018 at 9:24:53 AM,25,Data Book,Done 
Oct 10  2018 at 9:53:16 AM,25,Data Book,Done 
Oct 10  2018 at 10:24:32 AM,25,Data Book,Done 
Oct 10  2018 at 10:59:05 AM,25,Data Book,Done 
Oct 10  2018 at 11:44:00 AM,25,Data Book,Done 
Oct 10  2018 at 12:09:13 PM,25,Data Book,Done 
Oct 10  2018 at 1:10:55 PM,25,Data Book,Done 
Oct 10  2018 at 1:36:00 PM,25,Data Book,Done 
Oct 10  2018 at 2:27:20 PM,25,Data Book,Done 
Oct 10  2018 at 3:17:10 PM,25,Data Book,Done 
Oct 11  2018 at 8:26:11 AM,25,Data Book,Done 
Oct 11  2018 at 9:04:16 AM,25,Data Book,Done 
Oct 11  2018 at 10:05:57 AM,25,Data Book,Done 
Oct 11  2018 at 11:03:27 AM,25,Data Book,Done 
Oct 11  2018 at 11:32:53 AM,25,Data Book,Done 
Oct 11  2018 at 1:01:12 PM,25,Data Book,Done 
Oct 11  2018 at 1:54:09 PM,25,Data Book,Done 
Oct 11  2018 at 2:40:00 PM,25,Data Book,Done 
Oct 11  2018 at 3:21:40 PM,25,Data Book,Done 
Oct 11  2018 at 4:13:39 PM,25,Data Book,Done 
Oct 11  2018 at 4:58:21 PM,25,Write,Done 
Oct 12  2018 at 7:32:59 AM,25,Bullet Journal,Done 
Oct 12  2018 at 8:08:38 AM,25,Data Book,Done 
Oct 12  2018 at 9:07:04 AM,25,Data Book,Done 
Oct 12  2018 at 9:36:33 AM,25,Data Book,Done 
Oct 12  2018 at 10:10:32 AM,25,Data Book,Done 
Oct 12  2018 at 10:52:39 AM,25,Data Book,Done 
Oct 12  2018 at 2:08:07 PM,25,Data Book,Done 
Oct 12  2018 at 3:29:48 PM,25,Data Book,Done 
Oct 12  2018 at 4:15:07 PM,25,Data Book,Done 
Oct 13  2018 at 3:49:33 PM,25,Data Book,Done 
Oct 13  2018 at 4:28:33 PM,25,Data Book,Done 
Oct 14  2018 at 2:31:55 PM,25,Data Book,Done 
Oct 14  2018 at 3:11:31 PM,25,Data Book,Done 
Oct 14  2018 at 3:45:59 PM,25,Data Book,Done 
Oct 14  2018 at 4:22:24 PM,25,Data Book,Done 
Oct 15  2018 at 8:03:02 AM,25,Data Book,Done 
Oct 15  2018 at 9:10:42 AM,25,Data Book,Done 
Oct 15  2018 at 9:35:55 AM,25,Data Book,Done 
Oct 15  2018 at 10:01:06 AM,25,Data Book,Done 
Oct 15  2018 at 1:11:01 PM,25,Data Book,Done 
Oct 15  2018 at 2:03:27 PM,25,Data Book,Done 
Oct 15  2018 at 2:29:06 PM,25,Data Book,Done 
Oct 15  2018 at 2:59:45 PM,25,Data Book,Done 
Oct 15  2018 at 3:24:52 PM,25,Data Book,Done 
Oct 15  2018 at 3:57:24 PM,25,Data Book,Done 
Oct 16  2018 at 8:29:14 AM,25,Data Book,Done 
Oct 16  2018 at 9:10:49 AM,25,Data Book,Done 
Oct 16  2018 at 9:42:50 AM,25,Data Book,Done 
Oct 16  2018 at 11:03:56 AM,25,Data Book,Done 
Oct 16  2018 at 12:00:35 PM,25,Data Book,Done 
Oct 16  2018 at 2:06:30 PM,25,Data Book,Done 
Oct 16  2018 at 2:49:48 PM,25,Data Book,Done 
Oct 17  2018 at 7:54:29 AM,25,Data Book,Done 
Oct 17  2018 at 8:24:55 AM,25,Data Book,Done 
Oct 17  2018 at 8:56:51 AM,25,Data Book,Done 
Oct 17  2018 at 9:27:21 AM,25,Data Book,Done 
Oct 17  2018 at 10:01:01 AM,25,Data Book,Done 
Oct 17  2018 at 10:50:19 AM,25,Data Book,Done 
Oct 17  2018 at 11:47:33 AM,25,Data Book,Done 
Oct 17  2018 at 12:18:26 PM,25,Data Book,Done 
Oct 17  2018 at 2:52:35 PM,25,Data Book,Done 
Oct 17  2018 at 3:18:47 PM,25,Data Book,Done 
Oct 17  2018 at 3:43:57 PM,25,Data Book,Done 
Oct 17  2018 at 4:09:16 PM,25,Data Book,Done 
Oct 17  2018 at 4:49:00 PM,25,Data Book,Done 
Oct 18  2018 at 9:47:08 AM,25,Data Book,Done 
Oct 18  2018 at 11:22:47 AM,25,Data Book,Done 
Oct 18  2018 at 11:48:06 AM,25,Data Book,Done 
Oct 18  2018 at 12:13:38 PM,25,Data Book,Done 
Oct 18  2018 at 1:42:39 PM,25,Data Book,Done 
Oct 18  2018 at 2:16:26 PM,25,Data Book,Done 
Oct 18  2018 at 2:47:09 PM,25,Data Book,Done 
Oct 18  2018 at 3:43:50 PM,25,Data Book,Done 
Oct 18  2018 at 8:26:35 PM,25,Write,Done 
Oct 19  2018 at 8:14:33 AM,25,Data Book,Done 
Oct 19  2018 at 9:05:29 AM,25,Data Book,Done 
Oct 19  2018 at 9:30:37 AM,25,Data Book,Done 
Oct 19  2018 at 10:00:45 AM,25,Data Book,Done 
Oct 19  2018 at 10:56:36 AM,25,Data Book,Done 
Oct 19  2018 at 11:22:08 AM,25,Data Book,Done 
Oct 19  2018 at 1:06:25 PM,25,Data Book,Done 
Oct 19  2018 at 1:31:58 PM,25,Data Book,Done 
Oct 19  2018 at 2:55:49 PM,25,Data Book,Done 
Oct 20  2018 at 3:48:17 PM,25,Data Request,Done 
Oct 20  2018 at 4:45:13 PM,25,Data Request,Done 
Oct 20  2018 at 5:22:59 PM,25,Data Request,Done 
Oct 21  2018 at 1:29:42 PM,25,Daily Goal,Done 
Oct 21  2018 at 2:05:04 PM,25,Daily Goal,Done 
Oct 21  2018 at 2:31:09 PM,25,Write,Done 
Oct 22  2018 at 9:03:21 AM,25,Write,Done 
Oct 22  2018 at 3:01:36 PM,25,Data Book,Done 
Oct 22  2018 at 3:56:04 PM,25,Data Book,Done 
Oct 22  2018 at 4:29:29 PM,25,Data Book,Done 
Oct 22  2018 at 4:59:03 PM,25,Data Book,Done 
Oct 23  2018 at 8:23:07 AM,25,Data Book,Done 
Oct 23  2018 at 8:58:39 AM,25,Data Book,Done 
Oct 23  2018 at 9:42:10 AM,25,Data Book,Done 
Oct 23  2018 at 10:19:45 AM,25,Data Book,Done 
Oct 23  2018 at 10:52:59 AM,25,Data Book,Done 
Oct 23  2018 at 11:39:45 AM,25,Data Book,Done 
Oct 23  2018 at 12:08:51 PM,25,Data Book,Done 
Oct 23  2018 at 12:57:17 PM,25,Read,Done 
Oct 23  2018 at 2:04:00 PM,25,Data Book,Done 
Oct 23  2018 at 3:38:37 PM,25,Data Book,Done 
Oct 23  2018 at 5:10:38 PM,25,Write,Done 
Oct 23  2018 at 5:35:45 PM,25,Write,Done 
Oct 24  2018 at 7:49:14 AM,25,Data Book,Done 
Oct 24  2018 at 8:22:56 AM,25,Data Book,Done 
Oct 24  2018 at 9:37:02 AM,25,Data Book,Done 
Oct 24  2018 at 10:15:53 AM,25,Data Book,Done 
Oct 24  2018 at 10:51:22 AM,25,Data Book,Done 
Oct 24  2018 at 11:32:27 AM,25,Data Book,Done 
Oct 24  2018 at 1:21:50 PM,25,Data Book,Done 
Oct 24  2018 at 2:02:35 PM,25,Data Book,Done 
Oct 24  2018 at 2:27:53 PM,25,Data Book,Done 
Oct 24  2018 at 3:03:19 PM,25,Data Book,Done 
Oct 24  2018 at 4:00:23 PM,25,Data Book,Done 
Oct 24  2018 at 4:50:01 PM,25,Write,Done 
Oct 25  2018 at 8:04:14 AM,25,Data Book,Done 
Oct 25  2018 at 8:38:08 AM,25,Data Book,Done 
Oct 25  2018 at 9:27:33 AM,25,Data Book,Done 
Oct 25  2018 at 9:52:42 AM,25,Data Book,Done 
Oct 25  2018 at 10:38:57 AM,25,Data Book,Done 
Oct 25  2018 at 11:15:24 AM,25,Data Book,Done 
Oct 25  2018 at 11:47:11 AM,25,Data Book,Done 
Oct 25  2018 at 3:45:03 PM,25,Data Book,Done 
Oct 26  2018 at 8:07:03 AM,25,Data Book,Done 
Oct 26  2018 at 8:55:24 AM,25,Data Book,Done 
Oct 26  2018 at 9:57:27 AM,25,Data Book,Done 
Oct 26  2018 at 10:35:53 AM,25,Data Book,Done 
Oct 26  2018 at 11:18:16 AM,25,Data Book,Done 
Oct 26  2018 at 11:43:28 AM,25,Data Book,Done 
Oct 26  2018 at 1:34:51 PM,25,Data Book,Done 
Oct 26  2018 at 3:36:17 PM,25,Data Book,Done 
Oct 26  2018 at 4:45:49 PM,25,The truthful art,Done 
Oct 29  2018 at 8:10:02 AM,25,Data Book,Done 
Oct 29  2018 at 8:40:02 AM,25,Data Book,Done 
Oct 29  2018 at 9:49:54 AM,25,Data Book,Done 
Oct 29  2018 at 10:15:06 AM,25,Data Book,Done 
Oct 29  2018 at 1:24:18 PM,25,Data Book,Done 
Oct 29  2018 at 2:07:34 PM,25,Data Book,Done 
Oct 29  2018 at 2:32:49 PM,25,Data Book,Done 
Oct 29  2018 at 3:18:24 PM,25,Data Book,Done 
Oct 29  2018 at 3:47:27 PM,25,Data Book,Done 
Oct 29  2018 at 5:53:50 PM,25,Daily Goal,Done 
Oct 30  2018 at 7:55:13 AM,25,Data Book,Done 
Oct 30  2018 at 8:23:02 AM,25,Data Book,Done 
Oct 30  2018 at 9:17:02 AM,25,Data Book,Done 
Oct 30  2018 at 9:56:09 AM,25,Data Book,Done 
Oct 30  2018 at 10:27:24 AM,25,Data Book,Done 
Oct 30  2018 at 10:52:32 AM,25,Data Book,Done 
Oct 30  2018 at 11:53:23 AM,25,Data Book,Done 
Oct 30  2018 at 12:37:21 PM,25,Data Book,Done 
Oct 30  2018 at 2:02:43 PM,25,Data Book,Done 
Oct 30  2018 at 2:39:33 PM,25,Data Book,Done 
Oct 30  2018 at 3:14:11 PM,25,Data Book,Done 
Oct 30  2018 at 4:00:15 PM,25,Data Book,Done 
Oct 30  2018 at 4:25:31 PM,25,Data Book,Done 
Oct 31  2018 at 8:20:39 AM,25,Data Book,Done 
Oct 31  2018 at 9:02:52 AM,25,Data Book,Done 
Oct 31  2018 at 9:39:45 AM,25,Data Book,Done 
Oct 31  2018 at 10:10:48 AM,25,Data Book,Done 
Oct 31  2018 at 10:54:26 AM,25,Data Book,Done 
Oct 31  2018 at 11:52:23 AM,25,Data Book,Done 
Oct 31  2018 at 1:53:26 PM,25,Data Book,Done 
Oct 31  2018 at 2:23:43 PM,25,Data Book,Done 
Oct 31  2018 at 2:53:58 PM,25,Data Book,Done 
Oct 31  2018 at 3:31:14 PM,25,Data Book,Done 
Nov 1  2018 at 8:09:49 AM,25,Data Book,Done 
Nov 1  2018 at 9:20:29 AM,25,Data Book,Done 
Nov 1  2018 at 9:50:09 AM,25,Data Book,Done 
Nov 1  2018 at 10:33:49 AM,25,Data Book,Done 
Nov 1  2018 at 11:22:45 AM,25,Data Book,Done 
Nov 1  2018 at 11:53:58 AM,25,Data Book,Done 
Nov 1  2018 at 1:50:21 PM,25,Data Book,Done 
Nov 1  2018 at 2:41:53 PM,25,Data Book,Done 
Nov 1  2018 at 4:20:54 PM,25,Data Book,Done 
Nov 2  2018 at 7:55:58 AM,25,Data Request,Done 
Nov 2  2018 at 8:23:25 AM,25,Data Book,Done 
Nov 2  2018 at 8:56:59 AM,25,Data Book,Done 
Nov 4  2018 at 1:04:01 PM,25,Data Book,Done 
Nov 4  2018 at 5:35:04 PM,25,Data Book,Done 
Nov 4  2018 at 6:03:34 PM,25,Data Book,Done 
Nov 4  2018 at 7:53:04 PM,25,Daily Goal,Done 
Nov 4  2018 at 8:29:43 PM,25,Daily Goal,Done 
Nov 4  2018 at 9:19:29 PM,25,Daily Goal,Done 
Nov 4  2018 at 10:05:12 PM,25,Daily Goal,Done 
Nov 5  2018 at 1:48:18 PM,25,Read,Done 
Nov 6  2018 at 8:14:01 AM,25,Data Book,Done 
Nov 6  2018 at 8:48:51 AM,25,Data Book,Done 
Nov 6  2018 at 9:20:23 AM,25,Data Book,Done 
Nov 6  2018 at 9:45:52 AM,25,Data Book,Done 
Nov 6  2018 at 10:11:05 AM,25,Data Book,Done 
Nov 6  2018 at 11:05:02 AM,25,Data Book,Done 
Nov 6  2018 at 11:38:26 AM,25,Data Book,Done 
Nov 6  2018 at 12:20:13 PM,25,Data Book,Done 
Nov 6  2018 at 1:15:58 PM,25,Data Book,Done 
Nov 6  2018 at 2:15:13 PM,25,Data Book,Done 
Nov 6  2018 at 3:23:45 PM,25,Data Book,Done 
Nov 6  2018 at 3:55:32 PM,25,Data Book,Done 
Nov 6  2018 at 4:37:46 PM,25,State Snapshot,Done 
Nov 6  2018 at 5:18:59 PM,25,State Snapshot,Done 
Nov 7  2018 at 11:35:16 AM,25,Data Book,Done 
Nov 7  2018 at 12:01:47 PM,25,Data Book,Done 
Nov 7  2018 at 1:31:01 PM,25,Data Book,Done 
Nov 7  2018 at 2:08:04 PM,25,Data Book,Done 
Nov 7  2018 at 2:48:24 PM,25,Data Book,Done 
Nov 7  2018 at 3:27:26 PM,25,Data Book,Done 
Nov 7  2018 at 4:24:32 PM,25,Data Book,Done 
Nov 8  2018 at 7:47:11 AM,25,Data Book,Done 
Nov 8  2018 at 8:19:55 AM,25,Data Book,Done 
Nov 8  2018 at 9:54:57 AM,25,Data Book,Done 
Nov 8  2018 at 10:51:01 AM,25,Data Book,Done 
Nov 8  2018 at 11:46:23 AM,25,Data Book,Done 
Nov 8  2018 at 1:01:50 PM,25,Data Book,Done 
Nov 8  2018 at 2:10:58 PM,25,Data Book,Done 
Nov 8  2018 at 3:04:22 PM,25,Data Book,Done 
Nov 8  2018 at 3:32:47 PM,25,Data Book,Done 
Nov 8  2018 at 4:05:52 PM,25,Data Book,Done 
Nov 9  2018 at 1:28:10 PM,25,Data Book,Done 
Nov 9  2018 at 2:03:51 PM,25,Data Book,Done 
Nov 9  2018 at 3:04:43 PM,25,Data Book,Done 
Nov 9  2018 at 3:42:20 PM,25,Data Book,Done 
Nov 12  2018 at 8:31:40 AM,25,Data Book,Done 
Nov 12  2018 at 8:57:05 AM,25,Data Book,Done 
Nov 12  2018 at 9:30:03 AM,25,Data Book,Done 
Nov 12  2018 at 10:04:21 AM,25,Data Book,Done 
Nov 12  2018 at 12:12:49 PM,25,State Snapshot,Done 
Nov 12  2018 at 1:20:27 PM,25,State Snapshot,Done 
Nov 12  2018 at 1:51:12 PM,25,State Snapshot,Done 
Nov 12  2018 at 2:16:24 PM,25,Data Book,Done 
Nov 12  2018 at 3:13:55 PM,25,State Snapshot,Done 
Nov 12  2018 at 3:54:14 PM,25,Data Book,Done 
Nov 13  2018 at 8:10:34 AM,25,Data Book,Done 
Nov 13  2018 at 8:54:39 AM,25,Data Book,Done 
Nov 13  2018 at 9:30:30 AM,25,Data Book,Done 
Nov 13  2018 at 10:07:55 AM,25,Data Book,Done 
Nov 13  2018 at 11:00:54 AM,25,Data Book,Done 
Nov 13  2018 at 1:23:50 PM,25,Data Check Data Book,Done 
Nov 13  2018 at 2:02:51 PM,25,Data Book,Done 
Nov 13  2018 at 2:53:12 PM,25,Data Book,Done 
Nov 13  2018 at 4:00:36 PM,25,Data Book,Done 
Nov 13  2018 at 4:29:02 PM,25,Data Book,Done 
Nov 14  2018 at 8:30:51 AM,25,Data Book,Done 
Nov 14  2018 at 9:00:53 AM,25,Data Book,Done 
Nov 14  2018 at 1:17:05 PM,25,Data Book,Done 
Nov 14  2018 at 2:48:15 PM,25,Data Book,Done 
Nov 14  2018 at 3:25:07 PM,25,Data Book,Done 
Nov 14  2018 at 4:04:43 PM,25,Data Book,Done 
Nov 14  2018 at 4:48:47 PM,25,Data Book,Done 
Nov 15  2018 at 7:29:33 AM,25,Data Book,Done 
Nov 15  2018 at 8:10:22 AM,25,Data Book,Done 
Nov 15  2018 at 9:30:31 AM,25,Data Book,Done 
Nov 15  2018 at 10:04:35 AM,25,Data Book,Done 
Nov 15  2018 at 10:31:39 AM,25,Data Book,Done 
Nov 15  2018 at 11:10:19 AM,25,Data Book,Done 
Nov 15  2018 at 11:45:47 AM,25,Data Book,Done 
Nov 15  2018 at 2:17:28 PM,25,Data Book,Done 
Nov 15  2018 at 3:17:14 PM,25,Data Book,Done 
Nov 15  2018 at 4:45:39 PM,25,Data Book,Done 
Nov 15  2018 at 9:13:47 PM,25,Read,Done 
Nov 15  2018 at 9:38:58 PM,25,Read,Done 
Nov 16  2018 at 7:46:26 AM,25,Data Book,Done 
Nov 16  2018 at 8:11:48 AM,25,Data Book,Done 
Nov 16  2018 at 8:52:51 AM,25,Data Book,Done 
Nov 17  2018 at 6:27:12 PM,25,Write,Done 
Nov 17  2018 at 6:52:24 PM,25,Write,Done 
Nov 18  2018 at 4:37:14 PM,25,Read,Done 
Nov 18  2018 at 5:45:35 PM,25,IYI Goals,Done 
Nov 18  2018 at 6:20:13 PM,25,IYI Goals,Done 
Nov 18  2018 at 6:57:54 PM,25,Daily Goal,Done 
Nov 19  2018 at 9:28:08 AM,25,Data Book,Done 
Nov 19  2018 at 10:42:32 AM,25,Data Book,Done 
Nov 19  2018 at 11:13:15 AM,25,Data Book,Done 
Nov 19  2018 at 11:55:17 AM,25,Data Book,Done 
Nov 19  2018 at 1:03:58 PM,25,Data Book,Done 
Nov 19  2018 at 1:45:59 PM,25,Data Book,Done 
Nov 19  2018 at 2:17:26 PM,25,Data Book,Done 
Nov 19  2018 at 3:56:15 PM,25,Data Book,Done 
Nov 19  2018 at 4:33:43 PM,25,Data Book,Done 
Nov 20  2018 at 11:14:13 AM,25,Data Book,Done 
Nov 20  2018 at 11:52:08 AM,25,Data Book,Done 
Nov 20  2018 at 12:46:16 PM,25,Write,Done 
Nov 20  2018 at 2:05:32 PM,25,Data Book,Done 
Nov 20  2018 at 3:08:06 PM,25,Data Book,Done 
Nov 20  2018 at 5:16:35 PM,25,Data Book,Done 
Nov 21  2018 at 6:55:50 AM,25,Data Book,Done 
Nov 21  2018 at 7:24:31 AM,25,Data Book,Done 
Nov 21  2018 at 8:01:48 AM,25,Data Book,Done 
Nov 21  2018 at 8:37:23 AM,25,Data Book,Done 
Nov 21  2018 at 11:00:58 AM,25,Data Book,Done 
Nov 21  2018 at 11:26:27 AM,25,Data Book,Done 
Nov 21  2018 at 1:13:37 PM,25,Data Book,Done 
Nov 26  2018 at 7:56:01 AM,25,Data Book,Done 
Nov 26  2018 at 8:39:24 AM,25,Data Book,Done 
Nov 26  2018 at 9:23:27 AM,25,Data Book,Done 
Nov 26  2018 at 10:07:05 AM,25,Data Book,Done 
Nov 26  2018 at 12:47:52 PM,25,Data Book,Done 
Nov 26  2018 at 1:19:05 PM,25,Data Book,Done 
Nov 26  2018 at 1:48:50 PM,25,Data Book,Done 
Nov 26  2018 at 2:34:22 PM,25,Data Book,Done 
Nov 26  2018 at 2:59:41 PM,25,Data Book,Done 
Nov 26  2018 at 3:24:54 PM,25,Data Book,Done 
Nov 26  2018 at 4:20:53 PM,25,Data Book,Done 
Nov 26  2018 at 7:03:51 PM,25,Write,Done 
Nov 26  2018 at 7:42:44 PM,25,Read,Done 
Nov 29  2018 at 8:40:14 AM,25,Data Book,Done 
Nov 29  2018 at 9:19:43 AM,25,Data Book,Done 
Nov 29  2018 at 9:59:35 AM,25,Data Book,Done 
Nov 29  2018 at 7:25:29 PM,25,Read,Done 
Nov 29  2018 at 7:58:33 PM,25,Read,Done 
Nov 30  2018 at 8:44:41 AM,25,Data Request,Done 
Nov 30  2018 at 9:22:44 AM,25,Data Request,Done 
Nov 30  2018 at 10:13:11 AM,25,Data Book,Done 
Nov 30  2018 at 10:47:58 AM,25,Data Book,Done 
Nov 30  2018 at 12:05:43 PM,25,Data Book,Done 
Nov 30  2018 at 12:37:56 PM,25,Data Book,Done 
Nov 30  2018 at 1:18:33 PM,25,Data Book,Done 
Nov 30  2018 at 1:58:14 PM,25,Data Book,Done 
Nov 30  2018 at 3:31:21 PM,25,Data Book,Done 
Nov 30  2018 at 4:07:26 PM,25,Data Book,Done 
Nov 30  2018 at 4:51:40 PM,25,Data Book,Done 
Dec 2  2018 at 6:11:49 PM,25,Read,Done 
Dec 3  2018 at 7:15:59 AM,25,Data Book,Done 
Dec 3  2018 at 9:43:59 AM,25,Data Book,Done 
Dec 3  2018 at 10:15:12 AM,25,Data Book,Done 
Dec 3  2018 at 12:10:55 PM,25,Data Book,Done 
Dec 3  2018 at 1:03:59 PM,25,Data Book,Done 
Dec 3  2018 at 2:06:50 PM,25,Data Book,Done 
Dec 3  2018 at 2:39:37 PM,25,Data Book,Done 
Dec 3  2018 at 3:10:48 PM,25,Data Book,Done 
Dec 3  2018 at 3:45:46 PM,25,Data Book,Done 
Dec 3  2018 at 4:20:53 PM,25,Data Book,Done 
Dec 3  2018 at 4:56:36 PM,25,Data Book,Done 
Dec 3  2018 at 5:47:24 PM,25,Bullet Journal,Done 
Dec 3  2018 at 6:18:30 PM,25,Bullet Journal,Done 
Dec 3  2018 at 7:03:53 PM,25,Bullet Journal,Done 
Dec 4  2018 at 8:11:00 AM,25,Data Book,Done 
Dec 4  2018 at 8:53:54 AM,25,Data Book,Done 
Dec 4  2018 at 9:32:26 AM,25,Data Book,Done 
Dec 4  2018 at 10:04:39 AM,25,Data Book,Done 
Dec 4  2018 at 10:40:41 AM,25,Data Book,Done 
Dec 4  2018 at 11:38:52 AM,25,Data Book,Done 
Dec 4  2018 at 12:35:31 PM,25,Data Book,Done 
Dec 4  2018 at 1:32:12 PM,25,Data Book,Done 
Dec 4  2018 at 2:36:06 PM,25,Data Book,Done 
Dec 4  2018 at 3:45:33 PM,25,Data Book,Done 
Dec 4  2018 at 4:11:43 PM,25,Data Book,Done 
Dec 4  2018 at 5:02:25 PM,25,Write,Done 
Dec 4  2018 at 5:48:40 PM,25,Learn Tableau,Done 
Dec 5  2018 at 7:59:02 AM,25,Data Book,Done 
Dec 5  2018 at 8:37:32 AM,25,Data Book,Done 
Dec 5  2018 at 9:16:33 AM,25,Data Book,Done 
Dec 5  2018 at 9:48:13 AM,25,Data Book,Done 
Dec 5  2018 at 10:19:34 AM,25,Data Book,Done 
Dec 5  2018 at 10:59:42 AM,25,Data Book,Done 
Dec 5  2018 at 11:28:16 AM,25,Data Book,Done 
Dec 5  2018 at 12:24:45 PM,25,Data Book,Done 
Dec 5  2018 at 5:53:33 PM,25,Read,Done 
Dec 5  2018 at 6:31:19 PM,25,Learn Tableau,Done 
Dec 6  2018 at 7:45:35 AM,25,Data Book,Done 
Dec 6  2018 at 8:36:09 AM,25,Data Book,Done 
Dec 6  2018 at 10:02:47 AM,25,Data Book,Done 
Dec 6  2018 at 1:37:33 PM,25,Data Book,Done 
Dec 6  2018 at 2:17:12 PM,25,Data Book,Done 
Dec 6  2018 at 3:56:32 PM,25,Data Book,Done 
Dec 6  2018 at 4:26:38 PM,25,Data Book,Done 
Dec 6  2018 at 5:34:00 PM,25,Write,Done 
Dec 7  2018 at 7:52:43 AM,25,Data Book,Done 
Dec 7  2018 at 10:47:55 AM,25,Data Book,Done 
Dec 7  2018 at 1:06:01 PM,25,Data Book,Done 
